041995051320054000220021TMARIA JESUS VALEIRAS FREIRE                                                 00000000  00000000N
041995051320054000220022TLUIS SOUTO RODRIGUEZ                                                        00000000  00000000N
041995051320054000220023TJUAN IGNACIO VALEIRAS FREIRE                                                00000000  00000000N
041995051320054000220024TMARIA LUISA GARCIA VILA                                                     00000000  00000000N
041995051320054000220025TLUIS LOPEZ FERREIRO                                                         00000000  00000000N
041995051320054000220026TMARCIAL JAVIER VAZQUEZ FERREIRO                                             00000000  00000000N
041995051320054000220027TJOSE DOMINGO POSADA GONZALEZ                                                00000000  00000000N
041995051320054320541001TBALBINO ALVAREZ RODRIGUEZ                                                   00000000  00000000N
041995051320054320541002TMIGUEL TORRON SAAVEDRA                                                      00000000  00000000N
041995051320054320541003TMARIA REMEDIOS ALONSO FITERA                                                00000000  00000000N
041995051320054320541004TJOSE MANUEL DOMINGUEZ NOVOA                                                 00000000  00000000N
041995051320054320541005TRAFAEL TOMAS FERNANDEZ IGLESIAS                                             00000000  00000000N
041995051320054320541006TMARIA CONCEPCION BANDE RODRIGUEZ                                            00000000  00000000N
041995051320054320541007TMANUEL ABELEDO LOPEZ                                                        00000000  00000000N
041995051320054320541008TFRANCISCO GARCIA SANTAMARINA                                                00000000  00000000N
041995051320054320541009TJOSE FERNANDEZ FEIJOO                                                       00000000  00000000N
041995051320054320541010TFRANCISCO GALLEGO GONZALEZ                                                  00000000  00000000N
041995051320054320541011TROSA MARIA IGLESIAS RODRIGUEZ                                               00000000  00000000N
041995051320054320541012TMARIA DOLORES DIEGUEZ ALVAREZ                                               00000000  00000000N
041995051320054320541013TMARIA BELEN CRIADO RIVAS                                                    00000000  00000000N
041995051320054320541014TALBERTO QUINTAIROS RODRIGUEZ                                                00000000  00000000N
041995051320054320541015TMARIA DE LA CONCEPCION VIDAL GARCIA                                         00000000  00000000N
041995051320054320541016TM. CARMEN ALVAREZ OLLEROS                                                   00000000  00000000N
041995051320054320541017TNABOR RODRIGUEZ PEREZ                                                       00000000  00000000N
041995051320054320541018TMARIA TERESA BARBA CERMEÑO                                                  00000000  00000000N
041995051320054320541019TJOSE ALVAREZ SEARA                                                          00000000  00000000N
041995051320054320541020TDAVID LOPEZ GESTO                                                           00000000  00000000N
041995051320054320541021TCONCEPCION FEIJOO VAZQUEZ                                                   00000000  00000000N
041995051320054320541022TJOSE JORGE GONZALEZ PRIETO                                                  00000000  00000000N
041995051320054320541023TMARIA ELDA SOUSA GONZALEZ                                                   00000000  00000000N
041995051320054320541024TAUREA VIEITES JANEIRO                                                       00000000  00000000N
041995051320054320541025TMANUEL ALVAREZ PEREZ                                                        00000000  00000000N
041995051320054320541026TANTONIO RODRIGUEZ PEREZ                                                     00000000  00000000N
041995051320054320541027TMARIA LUZ MENDEZ CID                                                        00000000  00000000N
041995051360038000002001TJUAN LUIS PEDROSA FERNANDEZ                                                 00000000  00000000S
