07200906000056EUPV                                              ESQUERRA UNIDA DEL PAÍS VALENCIÀ: L'ESQUERRA                                                                                                          000056000056000021
07200906000057EAJ-PNV                                           EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO-COALICIÓN POR EUROPA-EUROPARAKO KOALIZIOA                                                          000057000057000002
07200906000058IZAN-RG                                           EZKER ANTIKAPITALISTA-IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL                                                                                        000058000058000007
07200906000059EB-B                                              EZKER BATUA-BERDEAK: EZKERRA                                                                                                                          000059000059000021
07200906000060ERC-BNG-ARALAR-EA-CHA                             INDEPENDENTISTAK ETA EZKERTIARRAK-EUROPA DE LOS PUEBLOS-VERDES                                                                                        000060000060000006
07200906000061II                                                INICIATIVA INTERNACIONALISTA - A SOLIDARIEDADE ENTRE OS POBOS                                                                                         000061000061000031
07200906000062II                                                INICIATIVA INTERNACIONALISTA - LA SOLIDARITAT ENTRE ELS POBLES                                                                                        000062000062000031
07200906000063ICV-EUiA                                          INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA                                                                               000063000063000021
07200906000064II                                                INIZIATIBA INTERNAZIONALISTA - HERRIEN ELKARTASUNA                                                                                                    000064000064000031
07200906000065IUC                                               IZQUIERDA UNIDA CANARIA: LA IZQUIERDA                                                                                                                 000065000065000021
07200906000066IU                                                IZQUIERDA UNIDA COMUNIDAD DE MADRID: LA IZQUIERDA                                                                                                     000066000066000021
07200906000067IU                                                IZQUIERDA UNIDA DE ARAGÓN: LA IZQUIERDA                                                                                                               000067000067000021
07200906000068IU-BA                                             IZQUIERDA UNIDA DE ASTURIAS-BLOQUE POR ASTURIES: LA IZQUIERDA                                                                                         000068000068000021
07200906000069IURM                                              IZQUIERDA UNIDA DE LA REGIÓN DE MURCIA: LA IZQUIERDA                                                                                                  000069000069000021
07200906000070IUN-NEB                                           IZQUIERDA UNIDA DE NAVARRA-NAFARROAKO EZKER BATUA: LA IZQUIERDA                                                                                       000070000070000021
07200906000071IULV-CA                                           IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA: LA IZQUIERDA                                                                                   000071000071000021
07200906000072IU                                                IZQUIERDA UNIDA: LA IZQUIERDA                                                                                                                         000072000072000021
07200906000073IU-ICV-EUiA-BA                                    IZQUIERDA UNIDA: LA IZQUIERDA                                                                                                                         000073000073000021
07200906000074LV                                                LOS VERDES-(EUROPA DE LOS PUEBLOS-VERDES)                                                                                                             000074000074000006
07200906000075LV-GVE                                            OS VERDES-GRUPO VERDE EUROPEO                                                                                                                         000075000075000025
07200906000076PA                                                PARTIDO ANDALUCISTA-COALICIÓN POR EUROPA                                                                                                              000076000076000002
07200906000077PCPE-EK                                           PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA-EUSKAL KOMUNISTAK                                                                                          000077000077000015
07200906000078PSC-PSOE                                          PARTIT DELS SOCIALISTES DE CATALUNYA PSC                                                                                                              000078000078000028
07200906000079IZAN-RG                                           REVOLTA GLOBAL-ESQUERRA ANTICAPITALISTA                                                                                                               000079000079000007
07200906000080UM-UMe                                            UNIÓ MALLORQUINA-UNIÓ MENORQUINA-COALICIÓ PER EUROPA                                                                                                  000080000080000002
