0819830511715700034906305JOSE Mº                  BOADAS                   RIBAS                                       043S
0819830511715700034906305JOSE                     JORDA                    BUREDA                                      029S
0819830511715700034906305JOSE                     GARRIGA                  FONT                                        082S
0819830511716200045705605JUAN                     PLANAS                   PLANELLA                                    049S
0819830511716200045705605JUAN                     FABREGAT                 LOPEZ                                       031S
0819830511716200045705605JUAN                     DEMIQUELS                FERRES                                      058S
0819830511716200045705605JAIME                    QUINTANA                 FERRER                                      045S
0819830511716200045705605FRANCISCO                AYAIS                    SERRAT                                      042S
0819830511717100034904905RAMON                    CASADESUS                QUINTA                                      067S
0819830511717100034904905LUIS                     GIRALT                   GRABULOSA                                   032S
0819830511717100034904905JOSE                     PALOMER                  ARCHE                                       030S
0819830511717100034904905JOAN                     MADBRN                   CUFI                                        043S
0819830511717100034904905EMILIO                   GIL                      SALLARES                                    025S
0819830511717300034907304MIGUEL                   OLIVERAS                                                             076S
0819830511717300034907304LUIS                     VILA                     SASTRE                                      056S
0819830511717300034907304JUAN                     PLANELLAS                VILA                                        068S
0819830511717300034907304ESTEBA                   TORRAS                   SAIS                                        055S
0819830511717300034907304ENRIQUE                  RICASTELL                TEIXIDOR                                    040N
0819830511717300064205301ROBERT                   DONAIRE                  PRAT                                        059S
0819830511717300064205301NARCIS                   SANES                    LLIURO                                      046N
0819830511717300064205301MONSERRAT                COLL                     FALGUERAS                                   009N
0819830511717300064205301MIGUEL                   LAUT                     MARTINEZ                                    046N
0819830511717300064205301JUAN                     ROIG                     VILA                                        053N
0819830511717400034905705JUAN                     MORADELL                 PONT                                        017S
0819830511717400034905705JUAN                     COROMINAS                PORTAS                                      021S
0819830511717400034905705JUAN                     BATLLE                   SAURI                                       046S
0819830511717400034905705JOSE                     COLOME                   GRABOLOSA                                   037S
0819830511717400034905705ESTEBAN                  PLANAS                   ROVIRA                                      108S
0819830511717600045604705JUAN                     GELI                     GAYA                                        023S
0819830511717600045604705JAIME                    ORIOL                    CANDELL                                     042S
0819830511717600045604705FRANCISCO                CORRIUS                  VILLAGRASA                                  063S
0819830511717600045604705ANGEL                    QUINTANA                 COLOMER                                     032S
0819830511717600045604705ALFONSO                  ALSINA                   BADOSA                                      030S
0819830511718800045707805JUAN                     PURCALLAS                FONTCLAR                                    055S
0819830511718800045707805JOSE                     CERVERA                  FONTCLARA                                   066S
0819830511718800045707805JAUME                    QUINTANA                 LLAUNETA                                    084S
0819830511718800045707805CARLOS                   BUSCATO                  SANSBELLO                                   063S
0819830511718800045707805ANTONIO                  HIDALGO                  AGUSI                                       047S
0819830511719100045710905SALVADOR                 MARSAL                   SENTANACH                                   111S
0819830511719100045710905JUAN                     BARRIS                   BOHIGAS                                     079S
0819830511719100045710905JOSE                     POS                      CRUSET                                      082S
0819830511719100045710905JOAQUIN                  VALL-LLOSERA             SULLASTRES                                  071S
0819830511719100045710905ISABEL                   PERALES                  FINA                                        094S
0819830511719200045706505PEDRO                    VIDAL                    NOLAS                                       027S
0819830511719200045706505LORENZO                  VILLA                    BARCELO                                     066S
0819830511719200045706505JUAN                     BARTOLL                  ROCA                                        046S
0819830511719200045706505JOSE                     SUÑE                     JUNCA                                       060S
0819830511719200045706505FRANCISCO                MOLAS                    BERCALO                                     061S
0819830511719200064202300PERE                     NOGUE                    VILA                                        026N
0819830511719200064202300JOSEP                    KORET                    BLANQUE                                     024N
0819830511719200064202300FRANCESC                 GARDELL                  BONADA                                      012N
0819830511719200064202300FLORENCI                 VIDAL                    FARRES                                      020N
0819830511719200064202300FERRAN                   PUJOL                    MOLAS                                       012N
0819830511719400034905705RAMON                    AULET                    ROSELL                                      072S
0819830511719400034905705JOSE MARIA               JORNET                   BENET                                       006S
0819830514409400022007302MANUEL                   ARGENTE                  VILLAR                                      048N
0819830514409400022007302FELICIANO                ALEGRE                   MAICAS                                      053N
0819830514409400022007302ENRIQUE                  MOLINERO                 HERNANDEZ                                   085S
0819830514409400057400000JULIO EDUARDO            SERRANO                  IBAÑEZ                                      000N
0819830514409400063407303VICENTE                  ESTEBAN                  GORBE                                       056S
0819830514409400063407303PURIFICACION             PERALTA                  VALERO                                      051N
0819830514409400063407303PABLO                    SALIENTE                 PERALTA                                     042N
0819830514409400063407303LAUREANO                 GONZALEZ                 HERRERO                                     062S
0819830514409400063407303JOSE MANUEL              ESTAEBAN                 CAMACHO                                     084S
0819830514410100022005005VICTORIANO               PLANAS                   ALEGRE                                      044S
0819830514410100022005005PEDRO                    MARZO                    ALIJARDE                                    032S
0819830514410100022005005LUIS                     POLO                     HERRERO                                     036S
0819830514410100022005005ELOY                     PEREZ                    CALVO                                       044S
0819830514410100022005005ANICETO                  BELANCHE                 POLO                                        047S
0819830514410100057400300ENRIQUE                  BERNIZ                   CASTELLOT                                   003N
0919830514410200055901403REMIGIO                  BERNAL                   BADAL                                       016S
0919830514410200055901403PATRICIO                 PEREZ                    CLAVERIA                                    009N
0919830514410200055901403MARCOS                   CANADA                   ALVAREZ                                     004N
0919830514410200055901403JOSE                     LAHOZ                    LAZARO                                      014S
0919830514410200055901403CAMILO                   MONTERDE                 CASANOVA                                    015S
0919830514410200057400100MANUEL                   CUENCA                   HIDALGO                                     001N
0919830514410200063401202TEODORO ANGEL            LAHOZ                    GARGALLO                                    009N
0919830514410200063401202PABLO                    LAZARO                   ALVAREZ                                     013S
0919830514410200063401202JOSE                     CANADA                   GIMENO                                      009N
0919830514410200063401202JAVIER                   BERNAL                   LAHOZ                                       017S
0819830514410300055909103RAIMUNDO                 PEREZ                    JARQUE                                      062N
0819830514410300055909103MIGUEL                   VIVAS                    PEREZ                                       079S
0819830514410300055909103MANUEL                   CONEJOS                  GORRIZ                                      026N
0819830514410300055909103JOSE MARIA               MONTOLIO                 MARTIN                                      112S
0819830514410300055909103JOSE                     FUENTES                  ABAD                                        085S
0819830514410300063407202TOMAS                    CONEJOS                  PEREZ                                       054N
0819830514410300063407202SANTIAGO                 ESCRICHE                 BAYO                                        055N
0819830514410300063407202MIGUEL                   IZQUIERDO                RAMO                                        079S
0819830514410300063407202ANTONIO                  TOMAS                    VIVAS                                       069S
0819830514410300063407202ANACLETO                 MAS                      MARQUES                                     033N
0819830514410500055908305MARCELINO                BOIX                     RALLO                                       054S
0819830514410500055908305LUIS                     FERRER                   FERRERO                                     075S
0819830514410500055908305JUAN                     ANDRES                   VIDAL                                       075S
0819830514410500055908305JOSE MARIA               CASES                    BEL                                         081S
0819830514410500055908305EUGENIO                  ARRUFAT                  BURGES                                      050S
0819830514410900022005301VICTORIANO               SANCHEZ                  JORDAN                                      038N
0819830514410900022005301PEDRO                    MUÑOZ                    MARIN                                       071S
0819830514410900022005301JESUS                    MORALES                  PEREZ                                       048N
0819830514410900022005301ENRIQUE                  GRANEL                   LARREA                                      032N
0819830514410900022005301ANDRES                   MORALES                  GARCIA                                      024N
0819830514410900063408104MIGUEL                   LOPEZ                    LACASA                                      059S
0819830514410900063408104MANUEL                   MILLA                    LORENTE                                     067S
0819830514410900063408104LORENZO                  MORATA                   BAZATAQUI                                   071S
0819830514410900063408104JUAN DOMINGO             LOZANO                   GARCIA                                      045N
0819830514410900063408104FERNANDO                 DOMINGO                  LACASA                                      085S
0919830514411000022002504SATURNINO                VELARTE                  MILLAN                                      025S
0919830514411000022002504MARIANO                  GARCIA                   ANDRES                                      004N
0919830514411000022002504MANUEL                   AMADOR                   VICENTE                                     021S
0919830514411000022002504JUAN JOSE                SANCHO                   GOMEZ                                       024S
0919830514411000022002504HILARIO                  GRACIA                   DOMINGO                                     026S
0919830514411000057400000MARIANO                  SANCHEZ                  RENANCIO                                    000N
0919830514411000063401301MIGUEL ANGEL             CRISTOBAL                ROCHE                                       018S
0919830514411000063401301MANUEL                   GRACIA                   DOMINGO                                     012N
0919830514411000063401301JOAQUIN                  LOPE                     SANCHO                                      011N
0919830514411000063401301ISIDORO                  CRISTOBAL                ROCHE                                       011N
0919830514411000063401301EMILIO                   GRACIA                   GONZALEZ                                    003N
0819830514411100063405005VICTORINO                ESCRICHE                 FERRER                                      048S
0819830514411100063405005MANUEL                   CIRUGEDA                 FRANCO                                      041S
0819830514411100063405005JUAN PEDRO               VIVANCOS                 PEIRO                                       048S
0819830514411100063405005JOSE                     ANDRES                   LORAS                                       039S
0819830514411100063405005GREGORIO                 ANDRES                   LORA                                        027S
0819830514718900063404101ESTEBAN                  TOLEDANO                 FLORES                                      046S
0819830514718900063404101ALFREDO                  BENITO                   POZO                                        021N
0819830514719000022404602SEGUNDO                  CORTIJO                  AGÜERO                                      033N
0819830514719000022404602PABLO                    CORTIJO                  AGÜERO                                      006N
0819830514719000022404602JERONIMO                 LOZANO                   GONZALEZ                                    067S
0819830514719000022404602CARMELO                  MAESO                    AGÜERO                                      037N
0819830514719000022404602ANA MARIA                GIRALDA                  AGÜERO                                      041S
0819830514719000026307603NICOLAS                  VILLAGARCIA              VILLAGARCIA                                 080S
0819830514719000026307603AVENTINO                 HIGUERA                  ROJO                                        074S
0819830514719000026307603ANTONIO                  B.VILLAGARCIA                                                        074S
0819830514719000030900700FRANCISCO JAVIER         DUQUE                    PAREDES                                     007N
0819830514719100022410404SATURNINO                CASADO                   BLANCO                                      083S
0819830514719100022410404MIGUEL                   SARDON                   BLANCO                                      083S
0819830514719100022410404MARCIAL                  PONCELA                  CASADO                                      118S
0819830514719100022410404LUPICINIO                MARCIEL                  GONZALEZ                                    088S
0819830514719100022410404JOSE MARIA               OLMEDO                   BLANCO                                      045N
0819830514719100030900700MARIA PAZ                LUCAS                    CALVO                                       007N
0819830514719100063404901VIRGILIO                 SERRADOR                 GONZALEZ                                    050S
0819830514719100063404901TEODORO                  SERRADOR                 MARCIEL                                     040N
0819830514719100063404901MARCELO                  LENTIJO                  PONCELA                                     032N
0819830514719100063404901ISIDORO                  LUENGO                   LOPEZ                                       034N
0819830514719100063404901CRESCENCIO               HERVADA                  SERRADOR                                    042N
0819830514719200022405301LUIS                     VELASCO                  ARROYO                                      050N
0819830514719200022405301LEONCIO                  RIVERA                   GARCIA                                      013N
0819830514719200022405301JAIME                    FERNANDEZ                FERNANDEZ                                   046N
0819830514719200022405301FRANCISCO                VELASCO                  VARGAS                                      047N
0819830514719200022405301FELIX                    VARGAS                   FRIAS                                       058S
0819830514719200063406704OCTAVIO                  CANTALAPIEDRA            TORREADRADO                                 068S
0819830514719200063406704MIGUEL                   NIETO                    AREVALO                                     013N
0819830514719200063406704MARCOS                   MORAN                    ALONSO                                      060S
0819830514719200063406704JOSE ISMAEL              CANTALAPIEDRA            VELASCO                                     066S
0819830514719200063406704JESUS GARCIA             SAN                      MIGUEL                                      061S
0919830514719600022403505IGNACIO                  RUIZ                     VALLEJO                                     026S
0919830514719600022403505DOMITILO                 CALDERON                 GARCIA                                      028S
0919830514719600022403505DOMICIO                  RICO                     SANTAMARIA                                  037S
0919830514719600022403505ADELARDO GAÑAN           SAN                      JOSE                                        017S
0919830514719600022403505ABILIO                   MONGE                    RICO                                        032S
0819830514719800022405205NEMESIO                  MOZO                     CARDO                                       048S
0819830514719800022405205Mª ISABEL                GALLEGO                  PEREZ                                       039S
0819830514719800022405205FRUCTUOSO ROJO           DEL                      POZO                                        047S
0819830514719800022405205CARMEN                   ROSALIA                  PEREZ                                       040S
0819830514719800022405205ARECIO DEL               POZO                     HERNANDEZ                                   036S
0819830514719900030908505LUIS                     ESTEBANEZ                COLLANTE                                    069S
0819830514719900030908505EUQUERIO                 CUADRILLERO              GONZALEZ                                    068S
0819830514719900030908505DIONISIO                 FERNANDEZ                SANCHEZ                                     079S
0819830514719900030908505BARCELIANO               SALGADO                  GONZALEZ                                    071S
0819830514719900030908505ALEJANDRO                PARDO                    COLLANTES                                   056S
0819830514719900063403500TEOFILO                  DIEZ                     RUIZ                                        025N
0819830514719900063403500NAZARIO                  COLLANTES                COLLANTES                                   031N
0819830514719900063403500JOSE                     GONZALEZ                 GONZALEZ                                    023N
0819830514719900063403500ARSENIO                  CALDERON                 ROMON                                       036N
0819830514719900063403500AMADRO                   ASENJO                   MARTIN                                      028N
0819830514720000022406704MIGUEL ANGEL             GONZALEZ                 BURGUEÑO                                    062S
0819830514720000022406704MARIO                    GIMON                    GIMON                                       022N
0819830514720000022406704JOSE DAMIAN              DUQUE                    MIERES                                      056S
0819830514720000022406704ISAAC                    REY                      RUIZ                                        068S
0819830514720000022406704CELSO                    RUIZ                     DUQUE                                       060S
0819830514720000030900600Mª MARGARITA             CARRASCO                 CORTES                                      006N
0819830514720000063403801ONESIMO                  DUQUE                    GOMEZ                                       040N
0819830514720000063403801MIGUEL LUIS              REY                      DUQUE                                       025N
0819830514720000063403801JOSE LUIS                RUIZ                     DUQUE                                       033N
0819830514720000063403801JAVIER                   PAREDES                  ALONSO                                      012N
0819830514720000063403801CESAR ESTEBAN            DE LA                    FUENTE DUQUE                                045S
0819830514720300022405102MAXIMO JOSE              SANCHEZ                  SANCHEZ                                     047S
0819830514720300022405102LUIS                     RAMOS                    RAMOS                                       039N
0819830514720300022405102JULIAN                   RODRIGUEZ                ALONSO                                      025N
0819830511719400034905705JOSE                     MERCADER                 NOGUER                                      075S
