0819790410916900021805605Fulgencio                Carrancho                Mor.                                        047S
0819790410916900021805605Evaristo                 Abel                     Juarros                                     015N
0819790410916900021805605Cirilo                   Alonso                   Blanco                                      006N
0819790410916900021805605Anselmo                  García                   Nuño                                        004N
0819790410916900021805605Angel                    Guerrero                 Cámara                                      035S
0819790410917200227006405Roberto                  García                   González                                    054S
0819790410917200227006405Lorenzo                  González                 Girón                                       079S
0819790410917200227006405Jesús                    Varona                   García                                      048S
0819790410917200227006405Ignacio                  González                 Díez                                        057S
0819790410917200227006405Emiliano                 Manzanal                 Peña                                        019S
0919790410917600183304405Víctor                   Ibeas                    Nidáguila                                   013N
0919790410917600183304405Julio                    Ibeas                    Ruiz                                        020S
0919790410917600183304405José                     Ibeas                    de Román                                    038S
0919790410917600183304405Jesús                    Ibeas                    Ruiz                                        000N
0919790410917600183304405Gerardo                  de Román                 Morq.                                       028S
0919790410917600183304405Donato                   Ibeas                    Nidáguila                                   005N
0919790410917600183304405Cirilo                   Izquierdo                Fernández                                   012N
0919790410917600183304405Carlos                   Sevilla                  de Román                                    016N
0919790410917600183304405Antonio                  Ibeas                    Ibeas                                       026S
0919790410917600183304405Angelberto               Ibeas                    Portugal                                    019S
0819790410917800021802902Román                    Laiva                    García                                      024N
0819790410917800021802902José L.                  Villar                   Urbina                                      040S
0819790410917800021802902Jaime                    Cárcamo                  Barrio                                      019S
0819790410917800021802902Gabriel                  Pérez                    Ciguenza                                    018N
0819790410917800021802902Emeterio                 Barrio                   Pérez                                       018N
0819790410917800227004303Vicente                  García                   Agüero                                      029N
0819790410917800227004303Pedro                    Eraña                    Martínez                                    038S
0819790410917800227004303José Mª                  Barrio                   Soto                                        034S
0819790410917800227004303José A.                  García                   Sierra                                      040S
0819790410917800227004303Eugenio                  Corral                   Zuazo                                       033N
0819790410917900226502605Guillermo                Lope                     Arauzo                                      021S
0819790410917900226502605Felipe                   Hontoria                 Arauzo                                      020S
0819790410917900226502605Eutimio                  Arauzo                   Miguel                                      023S
0819790410917900226502605Aquilino                 Campo                    Lope                                        025S
0819790410917900226502605Alfredo                  Arauzo                   García                                      016S
0819790410918200227005605Miguel A.                Rodríguez                                                            037S
0819790410918200227005605Mauro                    de Diego                 del Río                                     000N
0819790410918200227005605Mariano                  Caballero                del Río                                     000N
0819790410918200227005605Macario                  Abad                     Vegas                                       043S
0819790410918200227005605José M.                  del Río                  Calderos                                    000N
0819790410918200227005605Honorio                  Collantes                Abad                                        057S
0819790410918200227005605Emeterio                 del Río                  Martín                                      000N
0819790410918200227005605Eladio                   Amor                     del Río                                     033S
0819790410918200227005605Daniel                   Abad                     Vegas                                       000N
0819790410918200227005605César                    Pérez                    Abad                                        053S
0819790410918200227005605Amando                   Tapia                    Calderón                                    000N
0819790410918200227005605Alfonso                  Tapia                    Hierro                                      000N
0819790410918200227005605Alberto                  Abad                     Amor                                        000N
0919790410918300227001605Vicente                  Alonso                   Alonso                                      022S
0919790410918300227001605Melquiades               Sebastián                M.                                          008S
0919790410918300227001605Marcos                   Sebastián                García                                      014S
0919790410918300227001605Juan                     Paniego                  Rivero                                      011S
0919790410918300227001605Antonio                  Alonso                   Andrés                                      011S
0919790410918400021801505Ramiro                   de la Torre              Alon.                                       013S
0919790410918400021801505Narciso                  Sebastián                Cast.                                       011S
0919790410918400021801505José                     Hernando                 Larios                                      013S
0919790410918400021801505Crescenciano             Hernando                 P.                                          011S
0919790410918400021801505Cirilo                   Cubillo                  Hernando                                    015S
0819790410919000021809203Nicanor                  Laso                     Molinuevo                                   087S
0819790410919000021809203Julián                   Sainz                    López                                       000N
0819790410919000021809203José Mª                  Guinea                   Salazar                                     079N
0819790410919000021809203José J.                  García                   Anunciabay                                  017N
0819790410919000021809203Gaspar                   Orive                    Salazar                                     093S
0819790410919000021809203Emilio                   Orive                    González                                    094S
0819790410919000021809203Dionisio                 Raigadas                 Orive                                       000N
0819790410919000021809203Benito                   Quintana                 Canetra                                     000N
0819790413409300183304602Victoriano               Fuente                   Fuente                                      045S
0819790413409300183304602Santiago                 Pérez                    Estébanez                                   041N
0819790413409300183304602Rafael                   Vega                     Bravo                                       038N
0819790413409300183304602Modesto                  García                   Val                                         013N
0819790413409300183304602Bonifacio                Pérez                    Fuente                                      049S
0819790413409300227005803Javier                   García                   Fuente                                      026N
0819790413409300227005803Isidro                   García                   Martín                                      052S
0819790413409300227005803Hilario                  Val                      Val                                         036N
0819790413409300227005803Fermín                   Fuente                   San Millán                                  057S
0819790413409300227005803Fausto                   Pérez                    Cosgaya                                     062S
0819790413409400183303505Teódulo                  García                   Álvarez                                     032S
0819790413409400183303505Nicolás                  González                 Garrido                                     032S
0819790413409400183303505Gonzalo Jesús            Quintanilla              García                                      026S
0819790413409400183303505Alberto Eduardo          Borge                    Campos                                      023S
0819790413409400183303505Agustín                  de la Pisa               Acero                                       027S
0819790413409600219702300Vidal                    Saldaña                  del Valle                                   025N
0819790413409600219702300Prudencio                Gutiérrez                Fernández                                   010N
0819790413409600219702300Mª del Carmelo           Diez                     Torío                                       029N
0819790413409600219702300Eleuterio                Aguado                   Amor                                        006N
0819790413409600219702300Andrés                   Alonso                   Prieto                                      025N
0819790413409600227005205Julián                   de Prado                 Blanco                                      044S
0819790413409600227005205Jesús                    Ramírez                  San Martín                                  044S
0819790413409600227005205Gregorio                 del Olmo                 Blanco                                      044S
0819790413409600227005205Emiliano                 de Prado                 Ortega                                      040S
0819790413409600227005205Alfonso                  Santiago                 León                                        039S
0819790413409900183302305Mariano                  García                   Pérez                                       028S
0819790413409900183302305José Luis                Helguera                 Castrillo                                   006S
0819790413409900183302305Jerónimo                 Porro                    Gómez                                       048S
0819790413409900183302305Eugenio                  Retuerto                 Merino                                      005S
0819790413409900183302305Doroteo                  García                   Franco                                      007S
0819790413410100183305605José Mª                  Estébanez                Lorenzo                                     047S
0819790413410100183305605José Antonio             Santoyo                  Lora                                        048S
0819790413410100183305605Francisco                Martín                   Ruiz                                        049S
0819790413410100183305605Fidenciano               López                    Pérez                                       038S
0819790413410100183305605Amando                   Ruiz                     Estébanez                                   044S
0819790413410300183304505Pedro                    Giraldo                  Lerma                                       038S
0819790413410300183304505Mario                    Villagrá                 Lastra                                      033S
0819790413410300183304505Jesús Miguel             Melero                   López                                       059S
0819790413410300183304505Antonio                  Giraldo                  Bajo                                        024S
0819790413410300183304505Alfonso                  Giraldo                  Santos                                      027S
0819790413410700183305105Manuel                   Ortíz                    Rodríguez                                   068S
0819790413410700183305105Jesús                    Herrero                  Fuente                                      037S
0819790413410700183305105Hérmedes                 Cosgaya                  Martín                                      052S
0819790413410700183305105Francisco                Ibáñez                   Sáiz                                        024S
0819790413410700183305105Clementino               Martín                   Martín                                      025S
0819790413410900183304805Modesto                  Celada                   Vaquero                                     025S
0819790413410900183304805Mariano                  González                 Durántez                                    004N
0819790413410900183304805Lidio                    Velasco                  Velasco                                     031S
0819790413410900183304805Gaspar                   Borge                    Borge                                       019N
0819790413410900183304805Francisco                Tejerina                 Velasco                                     021S
0819790413410900183304805Fidel                    Velasco                  Garrán                                      011N
0819790413410900183304805Eduardo                  Cuesta                   Modinos                                     033S
0819790413410900183304805Domiciano                Velasco                  Caballero                                   013N
0819790413410900183304805Didio                    Fernández                Modinos                                     012N
0819790413410900183304805Antonio                  Borge                    Calvo                                       025S
0819790413411000183305405Rafael                   Roldán                   Gómez                                       050S
0819790413411000183305405Mario                    Arto                     Roldán                                      039S
0819790413411000183305405Lorenzo                  Revilla                  Ruiz                                        047S
0819790413411000183305405José Luis                Blanco                   Gil                                         062S
0819790413411000183305405Agustín                  Vélez                    Polanco                                     020S
0819790413411200183305205Ángel                    Pérez                    Curande                                     007N
0819790413411200183305205Teódulo                  Alonso                   Rojo                                        042S
0819790413411200183305205Santiago                 Tejerino                 Herrero                                     015N
0819790413411200183305205Luis                     Pérez                    Carande                                     019N
0819790413411200183305205José Mª                  Martínez                 Mayordomo                                   021S
0819790413411200183305205José Antonio             Martínez                 Mayordomo                                   024S
0919790414001900227003405Vicente                  García                   Páez                                        030S
0919790414001900227003405Segundo                  González                 Santiuste                                   028S
0919790414001900227003405Segundo                  García                   González                                    019S
0919790414001900227003405Pedro                    San Pedro                González                                    024S
0919790414001900227003405Alejandro                González                 González                                    036S
0919790414002100099201303Pedro                    Blanco                   de Frutos                                   013S
0919790414002100099201303Domingo                  Contreras                Blanco                                      013S
0919790414002100099201303Avito                    Barrio                   Otero                                       014S
0919790414002100209800000Martín                   Sorondo                  Oyarzabal                                   000N
0919790414002100227001802Víctor Nemesio           Barrio                   del Barrio                                  015S
0919790414002100227001802Victoriano               Barrio                   Martín                                      011N
0919790414002100227001802Valentín                 Martín                   Pastor                                      011N
0919790414002100227001802Timoteo                  Luis                     Tejedor                                     013N
0919790414002100227001802Pedro                    Casado                   García                                      009N
0919790414002100227001802Miqueas                  Tejedor                  Barrio                                      000N
0919790414002100227001802Calixto                  Otero                    Barrio                                      016S
0819790414002600209800800Adolfo                   Jordán                   García                                      008N
0819790414002600227004205Vidal                    Parra                    Parra                                       036S
0819790414002600227004205José                     González                 Garrido                                     040S
0819790414002600227004205Florentino               Galindo                  Rodríguez                                   046S
0819790414002600227004205Andrés                   Moreno                   Sanz                                        034S
0819790414002600227004205Agustín                  González                 Gómez                                       014S
0919790414002700209800000Gabriel                  Gamero                   Caro                                        000N
0919790414002700227001105Porfirio                 Izquierdo                Martín                                      011S
0919790414002700227001105Narciso                  Crespo                   Bermejo                                     000S
0919790414002700227001105María                    Muñoz                    Marina                                      011S
0919790414002700227001105Juliana                  Bermejo                  Arranz                                      011S
0919790414002700227001105Estanislao               Encinas                  González                                    011S
0819790414002800227005605Restituto                Maroto                   García                                      036S
0819790414002800227005605Julián                   Anaya                    Rivilla                                     067S
0819790414002800227005605Hilario                  Pérez                    Merinero                                    035S
0819790414002800227005605Felipe                   Rivilla                  García                                      038S
0819790414002800227005605Doroteo                  Rivilla                  Marugán                                     048S
0819790414002900227004305Vidal                    Siguero                  Moreno                                      029S
0819790414002900227004305Sinforiano               Yagüe                    Siguero                                     024S
0819790414002900227004305José Luis                Santamaría               Marina                                      055S
0819790414002900227004305Elías                    Gil                      Agueda                                      031S
0819790414002900227004305Domingo                  Martín                   Gimeno                                      034S
0919790414003300209800000Luis María               Vadilla                  Arrieta                                     000N
0919790414003300227002505Pablo                    Martín                   Martín                                      029S
0919790414003300227002505Leandro                  Otones                   de Pedro                                    029S
0919790414003300227002505Evencio                  López                    de Andrés                                   009S
0919790414003300227002505Benigno                  de la Fuente             de Pedro                                    008S
0919790414003300227002505Alejandro                Cardiel                  Gil                                         025S
0819790414003400099202700Sixto                    García                   Álvaro                                      022N
0819790414003400099202700Santiago                 Tapias                   García                                      014N
0819790414003400099202700Roberto                  Borreguero               Postigo                                     033N
0819790414003400099202700Julio                    Gómez                    Ayuso                                       031N
0819790414003400099202700Félix                    Martín                   Tejedor                                     009N
0819790414003400209800100Ramón                    San Sebastián            Aguirre                                     001N
0819790414003400227006705Marcelo                  Contreras                Marcos                                      043S
0819790414003400227006705Luis                     Gómez                    Benito                                      051S
0819790414003400227006705Fernando                 Martín                   Herrero                                     070S
0819790414003400227006705Fermín                   Herrero                  Martín                                      062S
0819790414003400227006705Doroteo                  Marcos                   Páez                                        042S
0819790414003500209800200Manuel                   Valle                    Ortega                                      002N
0819790414003500227004505Nicanor                  Páez                     García                                      036S
0819790414003500227004505Martín                   Heredero                 Torrego                                     033S
0819790414003500227004505José Félix               Casado                   Medialdea                                   048S
0819790414003500227004505Andrés                   Martín                   Hernansanz                                  035S
0819790414003500227004505Abraham                  Cardiel                  Casado                                      030S
0819790414003700227003905Virgilio                 Cárdaba                  Cisneros                                    017S
0819790414003700227003905Julián                   González                 Palomar                                     039S
0819790414003700227003905Juan                     Aceves                   Cisneros                                    036S
0819790414003700227003905Gonzálo Mariano          Vega                     Vega                                        036S
0819790414003700227003905Delfino                  Pascual                  San Juan                                    030S
0819790410919000227008502Pedro                    Salazar                  Ruiz                                        085S
0819790410919000227008502Fortunato                Gutiérrez                S.                                          072N
0819790410919000227008502Ciriaco F.               Sarabia                  Fernández                                   076N
0819790410919000227008502Benito                   Muga                     Martínez                                    019N
0819790410919000227008502Alfredo                  Vadillo                  Pardo                                       091S
0919790410919100094901805Sebastián                Moreno                   Cámara                                      014S
0919790410919100094901805Lucas                    Lamo                     García                                      011S
0919790410919100094901805Fausto                   Heras                    Domingo                                     012S
0919790410919100094901805Esteban                  Lamo                     García                                      016S
0919790410919100094901805Eduardo                  Gil                      Alonso                                      021S
0819790410919200094902605Moisés                   Vadillo                  Pineda                                      025S
0819790410919200094902605Julián                   Molinuevo                Gómez                                       021S
0819790410919200094902605Julián                   Herrán                   Mardones                                    030S
0819790410919200094902605Francisco                Ochoa                    Quincoces                                   014S
0819790410919200094902605Armando                  Bardeci                  Rivas                                       014S
0819790410919500227003105Victorino                Puerta                   Ruiz                                        027S
0819790410919500227003105Máximo                   Valdivieso               Arce                                        008S
0819790410919500227003105Julio                    Valdivieso               Díaz                                        010S
0819790410919500227003105Ezequiel                 Martínez                 Arce                                        039S
0819790410919500227003105Benito                   Lucas                    Saiz                                        040S
0819790410919700183312205Valentín                 Quintana                 Arlan                                       067S
0819790410919700183312205Valentín                 Ausín                    Saiz                                        088S
0819790410919700183312205Prisciliano              Lara                     Lara                                        067S
0819790410919700183312205Pablo                    Díez                     Tomé                                        019N
0819790410919700183312205Miguel                   Pérez                    Lozano                                      028N
0819790410919700183312205Lucinio                  Lara                     Hernando                                    070S
0819790410919700183312205Julio                    Díez                     Tomé                                        021N
0819790410919700183312205Isaac                    Díez                     Tomé                                        030N
0819790410919700183312205Fernando                 Pérez                    Romo                                        033N
0819790410919700183312205Aurelio                  Ortega                   Lara                                        066S
0819790410919900219701401Mariano                  Andrés                   Sandino                                     000N
0819790410919900219701401Manuel                   Vizcarra                 Aguado                                      000N
0819790410919900219701401Jesús                    Díez                     Alonso                                      057S
0819790410919900219701401Inocencio                Ruiz                     Sanmartín                                   000N
0819790410919900219701401Francisco                Moreno                   Gómez                                       000N
0819790410919900227007004Pedro                    Oña                      Díez                                        000N
0819790410919900227007004Aquilino                 Esteban                  Sanmartín                                   061S
0819790410919900227007004Antonio                  Vizcarra                 Palomino                                    088S
0819790410919900227007004Antonino                 Palomino                 Arranz                                      053S
0819790410919900227007004Angel                    Vizcarra                 Arranz                                      078S
0819790410920000021802705Vicente                  García                   Cuesta                                      032S
0819790410920000021802705Román                    Vicario                  Vicario                                     029S
0819790410920000021802705Julián                   Santos                   García                                      005S
0819790410920000021802705Epifanio                 Vicario                  González                                    022S
0819790410920000021802705Eladio                   García                   Ruiz                                        023S
0819790410920100227004605Santiago                 Izquierdo                Bartolomé                                   031S
0819790410920100227004605Pedro                    Bartolomé                Acinas                                      037S
0819790410920100227004605Luciano                  Bueno                    Mozo                                        043S
0819790410920100227004605José C.                  Bartolomé                Peña                                        031S
0819790410920100227004605Basilio                  Peña                     Mozo                                        043S
0919790410920200202902105Luis                     Maté                     López                                       007S
0919790410920200202902105Jesús                    Péres                    Pérez                                       032S
