06199105000001PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000001000001000001
06199105000002PP                                                PARTIDO POPULAR                                                                                                                                       000002000002000002
06199105000003CDS                                               CENTRO DEMOCRATICO Y SOCIAL                                                                                                                           000003000003000003
06199105000013PST                                               PARTIDO SOCIALISTA DE LOS TRABAJADORES                                                                                                                000013000013000013
06199105000026UVE                                               UNION VERDE                                                                                                                                           000026000026000026
06199105000040TAGOROR                                           TAGOROR O ASAMBLEA CONEJERA DE LANZAROTE                                                                                                              000040000040000040
06199105000041AIC                                               AGRUPACIONES INDEPENDIENTES DE CANARIAS                                                                                                               000041000041000041
06199105000044IGC                                               INDEPENDIENTES DE GRAN CANARIA                                                                                                                        000041000041000041
06199105000045AM                                                ASAMBLEA MAJORERA                                                                                                                                     000045000045000045
06199105000046PIL                                               PARTIDO DE INDEPENDIENTES DE LANZAROTE                                                                                                                000041000041000041
06199105000048LV                                                LOS VERDES                                                                                                                                            000048000048000048
06199105000074EA                                                EUSKO ALKARTASUNA                                                                                                                                     000074000074000074
06199105000075EE                                                EUSKADIKO EZKERRA                                                                                                                                     000075000075000075
06199105000077HB                                                HERRI BATASUNA                                                                                                                                        000077000077000077
06199105000081IU-EB                                             IZQUIERDA UNIDA-EZKER BATUA                                                                                                                           000081000081000004
06199105000082PSE-PSOE                                          PARTIDO SOCIALISTA DE EUSKADI                                                                                                                         000082000082000001
06199105000094EAJ-PNV                                           EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO                                                                                                    000094000094000094
06199105000107AHI                                               AGRUPACION HERREÑA INDEPENDIENTE                                                                                                                      000107000107000107
06199105000113ICAN                                              INICIATIVA CANARIA                                                                                                                                    000113000113000004
06199105000115P.I.                                              PLATAFORMA DE IZQUIERDAS.                                                                                                                             000115000115000115
06199105000116AIGRANC                                           AGRUPACION INSULAR DE GRAN CANARIA                                                                                                                    000116000116000116
06199105000117P.N.C.                                            PARTIDO NACIONALISTA CANARIO                                                                                                                          000117000117000117
06199105000118LVLE-H                                            LOS VERDES LISTA ECOLOGISTA-HUMANISTA                                                                                                                 000118000118000118
06199105000120LG                                                PARTIDO DE LA GENTE                                                                                                                                   000120000120000120
06199105000121CI                                                COALIC. CANARIAS POR LA INDEPEND. (FREPIC-AWAÑAC)                                                                                                     000121000121000121
06199105000132EKA                                               PARTIDO CARLISTA.                                                                                                                                     000132000132000031
06199105000135EHB                                               EUSKAL HERRIKO BERDEAK-VERDES DE EUSKAL HERRIA                                                                                                        000135000135000135
06199105000155UA                                                UNIDAD ALAVESA                                                                                                                                        000155000155000155
06199105000161JV                                                JUVENTUD VITORIANA                                                                                                                                    000161000161000161
06199105000163IF                                                INDEPENDIENTES DE FUERTEVENTURA                                                                                                                       000041000041000041
06199105000198CDS-AGI                                           COAL.CENTRO DEM.Y SOCIAL-AGRUP.GOMERA INDEPENDIENT                                                                                                    000003000003000003
06199105000245ATI                                               AGRUPACION TINERFEÑA DE INDEPENDIENTES                                                                                                                000041000041000041
06199105000246U. P. GO                                          UNION DEL PUEBLO GOMERO                                                                                                                               000041000041000041
06199105000247API                                               AGRUPACION PALMERA DE INDEPENDIENTES                                                                                                                  000041000041000041
